timestamp,db,scale,query_name,run_index,elapsed_ms,row_count
2025-11-07T18:57:05.703229,ts,10,count_1day,1,12.858,1
2025-11-07T18:57:05.704816,ts,10,count_1day,2,1.418,1
2025-11-07T18:57:05.705867,ts,10,count_1day,3,0.948,1
2025-11-07T18:57:05.707192,ts,10,count_1day,4,1.234,1
2025-11-07T18:57:05.708150,ts,10,count_1day,5,0.871,1
2025-11-07T18:57:05.709285,ts,10,count_1day,6,1.051,1
2025-11-07T18:57:05.710367,ts,10,count_1day,7,1.009,1
2025-11-07T18:57:05.711174,ts,10,count_1day,8,0.738,1
2025-11-07T18:57:05.711885,ts,10,count_1day,9,0.633,1
2025-11-07T18:57:05.712527,ts,10,count_1day,10,0.576,1
