timestamp,db,scale,query_name,run_index,elapsed_ms,row_count
2025-11-08T16:03:41.358534,ts,10,count_1year,1,65.506,1
2025-11-08T16:03:42.930088,ts,10,count_1year,2,8.132,1
2025-11-08T16:03:45.229034,ts,10,count_1year,3,6.440,1
2025-11-08T16:03:46.245374,ts,10,count_1year,4,5.537,1
2025-11-08T16:03:47.363633,ts,10,count_1year,5,5.830,1
2025-11-08T16:03:48.885521,ts,10,count_1year,6,4.906,1
2025-11-08T16:03:49.886904,ts,10,count_1year,7,5.175,1
2025-11-08T16:03:51.265404,ts,10,count_1year,8,6.191,1
2025-11-08T16:03:52.899094,ts,10,count_1year,9,5.952,1
2025-11-08T16:03:54.269435,ts,10,count_1year,10,6.475,1
