timestamp,db,scale,query_name,run_index,elapsed_ms,row_count
2025-11-07T18:56:35.337739,pg,25,humid_cold,1,13.943,1
2025-11-07T18:56:35.347923,pg,25,humid_cold,2,10.101,1
2025-11-07T18:56:35.359614,pg,25,humid_cold,3,11.617,1
2025-11-07T18:56:35.372028,pg,25,humid_cold,4,12.341,1
2025-11-07T18:56:35.383338,pg,25,humid_cold,5,11.242,1
2025-11-07T18:56:35.394625,pg,25,humid_cold,6,11.235,1
2025-11-07T18:56:35.406555,pg,25,humid_cold,7,11.877,1
2025-11-07T18:56:35.417195,pg,25,humid_cold,8,10.586,1
2025-11-07T18:56:35.428154,pg,25,humid_cold,9,10.907,1
2025-11-07T18:56:35.442335,pg,25,humid_cold,10,14.112,1
