timestamp,db,query_name,run_index,elapsed_ms,rowcount
2025-11-07T13:38:25.142971,pg,count_1day,1,41.06283187866211,1
2025-11-07T13:38:25.170208,pg,count_1day,2,27.091264724731445,1
2025-11-07T13:38:25.198095,pg,count_1day,3,27.72378921508789,1
2025-11-07T13:38:25.224739,pg,count_1day,4,26.501893997192383,1
2025-11-07T13:38:25.252230,pg,count_1day,5,27.34375,1
2025-11-07T13:38:25.280576,pg,count_1day,6,28.19967269897461,1
2025-11-07T13:38:25.308179,pg,count_1day,7,27.469158172607422,1
2025-11-07T13:38:25.336377,pg,count_1day,8,28.049945831298828,1
2025-11-07T13:38:25.365301,pg,count_1day,9,28.752565383911133,1
2025-11-07T13:38:25.391764,pg,count_1day,10,26.322364807128906,1
